students,conduct,results
1,experienced,1
2,experienced,1
3,experienced,1
4,experienced,1
5,experienced,1
6,experienced,1
7,experienced,1
8,experienced,1
9,experienced,1
10,experienced,1
11,experienced,1
12,experienced,1
13,experienced,1
14,experienced,1
15,experienced,1
16,experienced,1
17,experienced,1
18,experienced,1
19,experienced,1
20,experienced,1
21,experienced,1
22,experienced,1
23,no,0
24,no,0
25,no,0
26,no,0
27,no,0
28,no,0
29,no,0
30,no,0
31,no,0
32,no,0
33,no,0
34,no,0
35,no,0
36,no,0
